
	Frequency of annotations called from Tabulated file
5PRIME_UTR,DOWNSTREAM,SPLICE_SITE&INTRONIC,UPSTREAM	3
5PRIME_UTR,DOWNSTREAM,STOP_GAINED,SYNONYMOUS_CODING	1
5PRIME_UTR,DOWNSTREAM,SYNONYMOUS_CODING	18
5PRIME_UTR,DOWNSTREAM,SYNONYMOUS_CODING,UPSTREAM	22
5PRIME_UTR,DOWNSTREAM,UPSTREAM	279
5PRIME_UTR,INTRONIC	90
5PRIME_UTR,INTRONIC,NON_SYNONYMOUS_CODING	4
5PRIME_UTR,INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	7
5PRIME_UTR,INTRONIC,SYNONYMOUS_CODING	1
5PRIME_UTR,INTRONIC,SYNONYMOUS_CODING,UPSTREAM	3
5PRIME_UTR,INTRONIC,UPSTREAM	181
5PRIME_UTR,NON_SYNONYMOUS_CODING	47
5PRIME_UTR,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	6
5PRIME_UTR,NON_SYNONYMOUS_CODING,UPSTREAM	54
5PRIME_UTR,NON_SYNONYMOUS_CODING,UPSTREAM,WITHIN_MATURE_miRNA	1
5PRIME_UTR,SPLICE_SITE&5PRIME_UTR	1
5PRIME_UTR,SPLICE_SITE&5PRIME_UTR,UPSTREAM	1
5PRIME_UTR,SPLICE_SITE&INTRONIC,UPSTREAM	2
5PRIME_UTR,SPLICE_SITE&SYNONYMOUS_CODING,UPSTREAM	1
5PRIME_UTR,STOP_GAINED,UPSTREAM	1
5PRIME_UTR,STOP_LOST	1
5PRIME_UTR,STOP_LOST,UPSTREAM	1
5PRIME_UTR,SYNONYMOUS_CODING	107
5PRIME_UTR,SYNONYMOUS_CODING,UPSTREAM	50
5PRIME_UTR,UPSTREAM	530
CODING_UNKNOWN,DOWNSTREAM,NON_SYNONYMOUS_CODING,UPSTREAM	1
CODING_UNKNOWN,DOWNSTREAM,STOP_LOST,UPSTREAM	1
CODING_UNKNOWN,DOWNSTREAM,SYNONYMOUS_CODING,UPSTREAM	1
CODING_UNKNOWN,NON_SYNONYMOUS_CODING,UPSTREAM	1
CODING_UNKNOWN,STOP_LOST	1
DOWNSTREAM	13401
DOWNSTREAM,ESSENTIAL_SPLICE_SITE	4
DOWNSTREAM,ESSENTIAL_SPLICE_SITE,INTRONIC	1
DOWNSTREAM,ESSENTIAL_SPLICE_SITE,SYNONYMOUS_CODING	1
DOWNSTREAM,ESSENTIAL_SPLICE_SITE,UPSTREAM	2
DOWNSTREAM,INTRONIC	5341
DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING	131
DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC,UPSTREAM	1
DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	5
DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	3
DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	81
DOWNSTREAM,INTRONIC,SPLICE_SITE&INTRONIC	3
DOWNSTREAM,INTRONIC,SPLICE_SITE&INTRONIC,SYNONYMOUS_CODING	1
DOWNSTREAM,INTRONIC,SPLICE_SITE&INTRONIC,UPSTREAM	1
DOWNSTREAM,INTRONIC,SPLICE_SITE&SYNONYMOUS_CODING	2
DOWNSTREAM,INTRONIC,STOP_GAINED,UPSTREAM	1
DOWNSTREAM,INTRONIC,STOP_LOST,SYNONYMOUS_CODING,UPSTREAM	1
DOWNSTREAM,INTRONIC,STOP_LOST,UPSTREAM	1
DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING	311
DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING,UPSTREAM	208
DOWNSTREAM,INTRONIC,UPSTREAM	1322
DOWNSTREAM,NON_SYNONYMOUS_CODING	1501
DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE	4
DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE,SPLICE_SITE&5PRIME_UTR	1
DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE,SPLICE_SITE&INTRONIC,UPSTREAM	1
DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE,SPLICE_SITE&SYNONYMOUS_CODING,UPSTREAM	1
DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE,SYNONYMOUS_CODING	1
DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE,SYNONYMOUS_CODING,UPSTREAM	2
DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE,UPSTREAM	3
DOWNSTREAM,NON_SYNONYMOUS_CODING,NON_SYNONYMOUS_CODING&SPLICE_SITE	1
DOWNSTREAM,NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC	9
DOWNSTREAM,NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC,UPSTREAM	6
DOWNSTREAM,NON_SYNONYMOUS_CODING,SPLICE_SITE&SYNONYMOUS_CODING	1
DOWNSTREAM,NON_SYNONYMOUS_CODING,STOP_GAINED,UPSTREAM	1
DOWNSTREAM,NON_SYNONYMOUS_CODING,STOP_LOST	2
DOWNSTREAM,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	302
DOWNSTREAM,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	104
DOWNSTREAM,NON_SYNONYMOUS_CODING,UPSTREAM	785
DOWNSTREAM,SPLICE_SITE&3PRIME_UTR	1
DOWNSTREAM,SPLICE_SITE&3PRIME_UTR,SPLICE_SITE&SYNONYMOUS_CODING	2
DOWNSTREAM,SPLICE_SITE&3PRIME_UTR,UPSTREAM	1
DOWNSTREAM,SPLICE_SITE&5PRIME_UTR	1
DOWNSTREAM,SPLICE_SITE&INTRONIC	38
DOWNSTREAM,SPLICE_SITE&INTRONIC,SYNONYMOUS_CODING	1
DOWNSTREAM,SPLICE_SITE&INTRONIC,SYNONYMOUS_CODING,UPSTREAM	4
DOWNSTREAM,SPLICE_SITE&INTRONIC,UPSTREAM	23
DOWNSTREAM,SPLICE_SITE&SYNONYMOUS_CODING	13
DOWNSTREAM,SPLICE_SITE&SYNONYMOUS_CODING,SYNONYMOUS_CODING	2
DOWNSTREAM,SPLICE_SITE&SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	1
DOWNSTREAM,SPLICE_SITE&SYNONYMOUS_CODING,UPSTREAM	6
DOWNSTREAM,STOP_GAINED	8
DOWNSTREAM,STOP_GAINED,SYNONYMOUS_CODING	11
DOWNSTREAM,STOP_GAINED,SYNONYMOUS_CODING,UPSTREAM	4
DOWNSTREAM,STOP_GAINED,UPSTREAM	1
DOWNSTREAM,STOP_LOST	2
DOWNSTREAM,STOP_LOST,SYNONYMOUS_CODING	12
DOWNSTREAM,STOP_LOST,SYNONYMOUS_CODING,UPSTREAM	3
DOWNSTREAM,STOP_LOST,UPSTREAM	1
DOWNSTREAM,SYNONYMOUS_CODING	4512
DOWNSTREAM,SYNONYMOUS_CODING,NON_SYNONYMOUS_CODING	1
DOWNSTREAM,SYNONYMOUS_CODING,UPSTREAM	2188
DOWNSTREAM,UPSTREAM	4567
ESSENTIAL_SPLICE_SITE	3
ESSENTIAL_SPLICE_SITE,INTRONIC	1
ESSENTIAL_SPLICE_SITE,INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	1
ESSENTIAL_SPLICE_SITE,INTRONIC,UPSTREAM	1
ESSENTIAL_SPLICE_SITE,NON_SYNONYMOUS_CODING	4
ESSENTIAL_SPLICE_SITE,NON_SYNONYMOUS_CODING,UPSTREAM	1
ESSENTIAL_SPLICE_SITE,SPLICE_SITE&INTRONIC	1
ESSENTIAL_SPLICE_SITE,STOP_LOST	1
ESSENTIAL_SPLICE_SITE,SYNONYMOUS_CODING	3
ESSENTIAL_SPLICE_SITE,SYNONYMOUS_CODING,UPSTREAM	1
ESSENTIAL_SPLICE_SITE,UPSTREAM	3
INTERGENIC	1494
INTRONIC	11525
INTRONIC,NON_SYNONYMOUS_CODING	254
INTRONIC,NON_SYNONYMOUS_CODING&SPLICE_SITE	1
INTRONIC,NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC	1
INTRONIC,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	7
INTRONIC,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	6
INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	115
INTRONIC,SPLICE_SITE&5PRIME_UTR,UPSTREAM	1
INTRONIC,SPLICE_SITE&INTRONIC	4
INTRONIC,SPLICE_SITE&INTRONIC,UPSTREAM	3
INTRONIC,SPLICE_SITE&SYNONYMOUS_CODING	1
INTRONIC,SPLICE_SITE&SYNONYMOUS_CODING,SYNONYMOUS_CODING	1
INTRONIC,SPLICE_SITE&SYNONYMOUS_CODING,UPSTREAM	1
INTRONIC,STOP_GAINED	4
INTRONIC,STOP_GAINED,UPSTREAM	2
INTRONIC,STOP_LOST,SYNONYMOUS_CODING,UPSTREAM	1
INTRONIC,SYNONYMOUS_CODING	599
INTRONIC,SYNONYMOUS_CODING,UPSTREAM	198
INTRONIC,UPSTREAM	2561
NON_SYNONYMOUS_CODING	4168
NON_SYNONYMOUS_CODING&SPLICE_SITE	8
NON_SYNONYMOUS_CODING&SPLICE_SITE,SPLICE_SITE&INTRONIC	1
NON_SYNONYMOUS_CODING&SPLICE_SITE,SPLICE_SITE&SYNONYMOUS_CODING	4
NON_SYNONYMOUS_CODING&SPLICE_SITE,SYNONYMOUS_CODING	3
NON_SYNONYMOUS_CODING,NON_SYNONYMOUS_CODING&SPLICE_SITE	2
NON_SYNONYMOUS_CODING,NON_SYNONYMOUS_CODING&SPLICE_SITE,UPSTREAM	3
