
	Frequency of annotations called from Tabulated file
DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING	65
DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING,UPSTREAM	36
DOWNSTREAM,INTRONIC,UPSTREAM	692
DOWNSTREAM,NON_SYNONYMOUS_CODING	318
DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE	1
DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE,SPLICE_SITE&SYNONYMOUS_CODING	1
DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE,UPSTREAM	1
DOWNSTREAM,NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC	1
DOWNSTREAM,NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC,UPSTREAM	2
DOWNSTREAM,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	42
DOWNSTREAM,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	16
DOWNSTREAM,NON_SYNONYMOUS_CODING,UPSTREAM	188
DOWNSTREAM,SPLICE_SITE&5PRIME_UTR,UPSTREAM	1
DOWNSTREAM,SPLICE_SITE&INTRONIC	17
DOWNSTREAM,SPLICE_SITE&INTRONIC,UPSTREAM	9
DOWNSTREAM,SPLICE_SITE&SYNONYMOUS_CODING	7
DOWNSTREAM,SPLICE_SITE&SYNONYMOUS_CODING,UPSTREAM	3
DOWNSTREAM,STOP_GAINED	2
DOWNSTREAM,STOP_GAINED,SYNONYMOUS_CODING	3
DOWNSTREAM,STOP_GAINED,UPSTREAM	1
DOWNSTREAM,STOP_LOST	3
DOWNSTREAM,STOP_LOST,SYNONYMOUS_CODING	2
DOWNSTREAM,SYNONYMOUS_CODING	835
DOWNSTREAM,SYNONYMOUS_CODING,UPSTREAM	416
DOWNSTREAM,UPSTREAM	1353
ESSENTIAL_SPLICE_SITE	3
ESSENTIAL_SPLICE_SITE,INTRONIC	1
ESSENTIAL_SPLICE_SITE,NON_SYNONYMOUS_CODING	2
ESSENTIAL_SPLICE_SITE,SYNONYMOUS_CODING	3
INTERGENIC	1016
INTRONIC	6984
INTRONIC,NON_SYNONYMOUS_CODING	79
INTRONIC,NON_SYNONYMOUS_CODING&SPLICE_SITE	1
INTRONIC,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	2
INTRONIC,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	3
INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	35
INTRONIC,SPLICE_SITE&3PRIME_UTR	1
INTRONIC,SPLICE_SITE&INTRONIC	5
INTRONIC,SPLICE_SITE&INTRONIC,UPSTREAM	1
INTRONIC,SPLICE_SITE&SYNONYMOUS_CODING,UPSTREAM	1
INTRONIC,STOP_GAINED,UPSTREAM	1
INTRONIC,STOP_LOST	1
INTRONIC,SYNONYMOUS_CODING	143
INTRONIC,SYNONYMOUS_CODING,UPSTREAM	42
INTRONIC,UPSTREAM	1583
NON_SYNONYMOUS_CODING	1017
NON_SYNONYMOUS_CODING&SPLICE_SITE	5
NON_SYNONYMOUS_CODING&SPLICE_SITE,SPLICE_SITE&INTRONIC,UPSTREAM	1
NON_SYNONYMOUS_CODING&SPLICE_SITE,UPSTREAM	2
NON_SYNONYMOUS_CODING,NON_SYNONYMOUS_CODING&SPLICE_SITE	1
NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC	1
NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC,UPSTREAM	2
NON_SYNONYMOUS_CODING,STOP_LOST	2
NON_SYNONYMOUS_CODING,STOP_LOST,UPSTREAM	1
NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	139
NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	28
NON_SYNONYMOUS_CODING,UPSTREAM	273
SPLICE_SITE&3PRIME_UTR,SPLICE_SITE&SYNONYMOUS_CODING	1
SPLICE_SITE&INTRONIC	32
SPLICE_SITE&INTRONIC,SYNONYMOUS_CODING	2
