
	Frequency of annotations called from Tabulated file
DOWNSTREAM,ESSENTIAL_SPLICE_SITE	2
DOWNSTREAM,INTRONIC	3670
DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING	53
DOWNSTREAM,INTRONIC,NON_SYNONYMOUS_CODING,UPSTREAM	43
DOWNSTREAM,INTRONIC,SPLICE_SITE&5PRIME_UTR,UPSTREAM	1
DOWNSTREAM,INTRONIC,SPLICE_SITE&INTRONIC	2
DOWNSTREAM,INTRONIC,SPLICE_SITE&INTRONIC,UPSTREAM	3
DOWNSTREAM,INTRONIC,SPLICE_SITE&SYNONYMOUS_CODING,SYNONYMOUS_CODING	1
DOWNSTREAM,INTRONIC,STOP_GAINED	1
DOWNSTREAM,INTRONIC,STOP_LOST	2
DOWNSTREAM,INTRONIC,STOP_LOST,UPSTREAM	1
DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING	102
DOWNSTREAM,INTRONIC,SYNONYMOUS_CODING,UPSTREAM	57
DOWNSTREAM,INTRONIC,UPSTREAM	1103
DOWNSTREAM,NON_SYNONYMOUS_CODING	531
DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE	3
DOWNSTREAM,NON_SYNONYMOUS_CODING&SPLICE_SITE,SPLICE_SITE&SYNONYMOUS_CODING	1
DOWNSTREAM,NON_SYNONYMOUS_CODING,NON_SYNONYMOUS_CODING&SPLICE_SITE	1
DOWNSTREAM,NON_SYNONYMOUS_CODING,NON_SYNONYMOUS_CODING&SPLICE_SITE,UPSTREAM	2
DOWNSTREAM,NON_SYNONYMOUS_CODING,SPLICE_SITE&INTRONIC	1
DOWNSTREAM,NON_SYNONYMOUS_CODING,STOP_LOST	1
DOWNSTREAM,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING	78
DOWNSTREAM,NON_SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	30
DOWNSTREAM,NON_SYNONYMOUS_CODING,UPSTREAM	273
DOWNSTREAM,SPLICE_SITE&INTRONIC	20
DOWNSTREAM,SPLICE_SITE&INTRONIC,SYNONYMOUS_CODING	3
DOWNSTREAM,SPLICE_SITE&INTRONIC,UPSTREAM	19
DOWNSTREAM,SPLICE_SITE&SYNONYMOUS_CODING	11
DOWNSTREAM,SPLICE_SITE&SYNONYMOUS_CODING,STOP_LOST&SPLICE_SITE	1
DOWNSTREAM,SPLICE_SITE&SYNONYMOUS_CODING,SYNONYMOUS_CODING	1
DOWNSTREAM,SPLICE_SITE&SYNONYMOUS_CODING,SYNONYMOUS_CODING,UPSTREAM	1
DOWNSTREAM,SPLICE_SITE&SYNONYMOUS_CODING,UPSTREAM	6
DOWNSTREAM,STOP_GAINED	3
DOWNSTREAM,STOP_GAINED,SYNONYMOUS_CODING	3
